No. ,Barcode Number,Brand Name,Product Description ,Category,Dosage Form,Manufacturer,Category,Batch Number,Maufacture Date,Expiry Date,Quantity,UOM,,,,,Storage Conditions,Manufacturer,Supplier,Date Received,Reorder Level,Strength,Unit Price,Total Value,Location,Notes
11,6161110939421,Encef,Encef Ceftriaxone for Injection USP 1 G & Sterile Water for Injection USP 1 GM,Antibiotics,As directed by physician,Inject Care Parenterals Pvt. Ltd,Antibiotics,IC23950001,12/23/2025,11/01/2025,20, Vials,,,,,Store below 30 ̊ C protect from light ,Inject Care Parenterals Pvt. Ltd,Surgilinks Limited,05/07/2025,,,,,,In good condition
12,6161110939735,Cetramac,Cetramac Cetrizine Hydrochloride 10mg Tablets 1*10 tablets,Antihistamine,As directed by physician,Questa Care Limited,Antihistamine,422401,07/24/2025,06/01/2027,10, pkts,,,,,"Do not store above 30 ̊, protect from direct sunlight and moisture",Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
13,616111093948,Xenglu,Xenglu Empagliflozin Tablets 10mg 14 tablets,Cardiovascular,As directed by physician,Hilton Pharma(Pvt) Ltd.,Cardiovascular,148904,06/23/2025,06/01/2025,2, pkts,,,,,"Store below 30 ̊C, protect from sunlight and moisture. Keep out of reach of children",Hilton Pharma(Pvt) Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition but expiry date is too soon 
14,6161110930305,Esose,Esose HP Kit H.pylori Kit 7 kits 1 Tablet of Esomeprazole 40mg 1 Tablet of Levofloxacin 500mg 2 Capsules of Amoxicillin 500mg,Gastrointestinal drug,As directed by physician,Questa Care Limited,Gastrointestinal drug,42420,08/23/2025,07/01/2025,2, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition but expiry date is too soon 
16,8906040831852,Nebzmart S,Nebzmart S Salbutamol Nebuliser Solution BP (Sterile) 10 Nebules-2.5 ml,Antihistamine,As directed by physician,Amanta Healthcare Ltd.,Antihistamine,1TPF4104002,12/24/2025,10/01/2026,10, nebules,,,,,Store below 25  ̊C . Protect from light,Amanta Healthcare Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
17,8906114850161,Glencee ,Glencee Vitamin C 1000mg Effervescent Tablets 20 effervescent tablets ,"Multivitamins,supplements,blood coagulants",Not to be swallowed directly,SciTech Specialities Pvt. Ltd.,"Multivitamins,supplements,blood coagulants",2117LX,12/24/2025,11/01/2026,3, pkts,,,,,"Store in a dry, well ventilated place at a temperature not exceeding 25 ̊C. Protect from direct sunlight. Keep out of reach of children. Replace desiccant cap tightly after every use.",SciTech Specialities Pvt. Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
18,8906040831586,Febramol,Febramol Paracetamol IV Infusion (10 mg/ml) 100ml,Antihistamine,As directed by physician,Amanta Healthcare Ltd.,Antihistamine,24840531,12/24/2025,11/01/2026,10, bottles,,,,,Store at a temperature not exceeding 30 ̊C Protect from light,Amanta Healthcare Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
19,8906129066670,Valus- MR,"Valus- MR Aceclofenac 100mg, Paracetamol 500mg and Chlorzoxazone 500mg Tablets 1*10 Tablets ",Antihistamine,read accompanying prescribing information,Stallion Laboratories PVT.Ltd.,Antihistamine,GL-121,04/24/2025,03/01/2027,3, pkts,,,,,"Store below 30 ̊C in a dry place, protect from light",Stallion Laboratories PVT.Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
20,6161110939612,Terbinafine,Terbinafine Tablets USP 250mg 1*10 Tablets,Antifungal,As directed by physician,Questa Care Limited,Antifungal,572401,09/24/2025,08/01/2027,3, pkts,,,,,Do not store  above 30 ̊C. Protect from direct sunlight & moisture,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
21,8904091100606,Candid- V Gel,Candid-V Gel Clotrimazole Vaginal Gel with applicator 30g,Antifungal,As directed by physician,Glenmark Pharmaceauticals Ltd.,Antifungal,10241195,05/24/2025,04/01/2027,2, bottles,,,,,"Store below 30 ̊C, protect from sunlight,do not freeze",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
22,6161110939452,Zeegap,Zeegap Pregabalin 75mg 14 Capsules,Antihistamine,As prescribed by physician,Hilton Pharma(Pvt) Ltd.,Antihistamine,155838,10/24/2025,10/01/2026,4, pkts,,,,,Do not store above 30 ̊C and protect from sunlight,Hilton Pharma(Pvt) Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
23,8904091105700,Candid- V3 ,Candid- V3 Clotrimazole Vaginal Inserts USP 200mg,Antifungal,Directions for use in the insert,Glenmark Pharmaceauticals Ltd.,Antifungal,10240566,03/24/2025,02/01/2028,3, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
24,6161110939971,Levoque 500,Levoque 500 Levofloxacin 500mg Tablets 1*10 Tablets,Antibiotics,As directed by physician,Questa Care Limited,Antibiotics,122401,08/24/2025,07/01/2027,3, pkts,,,,,Do not store  above 30 ̊C. Protect from direct sunlight & moisture,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
25,8904091105816,Candid - V6,Candid-V6 Clotrimazole Vaginal Inserts USP 100mg,Antifungal,Directions for use in the insert,Glenmark Pharmaceauticals Ltd.,Antifungal,10232378,07/23/2025,08/01/2027,3, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
26,8904091105601,Candid V-1,Candid V-1 Clotrimazole Vaginal Inserts USP 500mg,Antifungal,Directions for use in the insert,Glenmark Pharmaceauticals Ltd.,Antifungal,10250004,01/25/2025,12/01/2028,3, pkts,,,,,Store below 30 ̊ C,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
27,8904091100217,Candid-B,Candid-B Broad Spectrum Antifungal Anti-Inflammatory & Antipruritic 15g,Topical Creams Ointment and solutions,Directions for use in the insert,Glenmark Pharmaceauticals Ltd.,Topical Creams Ointment and solutions,10241546,05/24/2025,05/01/2027,3, pkts,,,,,Store below 30 ̊ C protect from light. Do not freeze,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
28,6161110939476,Mformin 500,Mformin 500 Metformin Hydrochloride 500mg Tablets B.P 3*10 Tablets,Cardiovascular,As directed by physician,Questa Care Limited,Cardiovascular,472402,06/24/2025,05/01/2027,3, pkts,,,,,"Do not store above 30 ̊C, protect from light and moisture",Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition but expiry date is too soon 
29,6161110939469,Transamin Injection,Transamin Injection Antiplasminic Agent Tranexamic Acid 500 mg ,"Multivitamins,supplements,blood coagulants",As prescribed by physician,Hilton Pharma(Pvt) Ltd.,"Multivitamins,supplements,blood coagulants",143933,06/22/2025,06/01/2025,10, Vials,,,,,Store below 30 ̊ C protect from light and moisture,Hilton Pharma(Pvt) Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
30,6221508120418,Miconaz,Miconaz Miconazole Nitrate 2% Fungicidal and Bactericidal 20g Topical Cream,Topical Creams Ointment and solutions,See enclosed leaflet,N/A,Topical Creams Ointment and solutions,230610,02/23/2025,02/01/2026,3, Tubes ,,,,,Store below 30 ̊ C,N/A,Surgilinks Limited,05/07/2025,,,,,,In good condition but No manufacturer details on package
31,6161110939803,Cetramac,Cetramac Cetrizine Hydrochloride Syrup 60ml,Antihistamine,As directed by physician,Questa Care Limited,Antihistamine,692401,06/24/2025,10/01/2026,5, bottles,,,,,Do not store  above 30 ̊C,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
32,8904091116010,Altacef,Altacef suspension cefuroxime axetil for oral suspension USP 125ml/5ml,Antibiotics,As directed by physician,Sance Laboratories Pvt.Ltd.,Antibiotics,4320011,05/24/2025,04/01/2026,3, bottles,,,,,Store in a cool and dry place. Store reconstituted suspension in a refrigerator at a temperature between 2 to 8 ̊C.The Reconstituted Suspension is stable for 10 days.,Sance Laboratories Pvt.Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
33,8904091140107,Ascoril,Ascoril Dry Cough and Cold Syrup 100ml ,Antihistamine,Refer package insert,Glenmark Pharmaceauticals Ltd.,Antihistamine,10240874,04/24/2025,03/01/2026,2, bottles,,,,,"Store below 30 ̊C, protect from light",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
34,8904091116621,Ascoril,Ascoril Expectorant Syrup 100ml,Antihistamine,As directed by physician,Glenmark Pharmaceauticals Ltd.,Antihistamine,05241531A,10/24/2025,09/01/2026,2, bottles,,,,,"Store below 30 ̊C, protect from light",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,, 2 bottles delivered instead of 3 as indicated
35,6161110939728,Lactulac,Lactulac Lactulose Solution USP 200ml,Gastrointestinal drug,As directed by physician,Questa Care Limited,Gastrointestinal drug,522504,03/25/2025,02/01/2028,2, bottles,,,,,Do not store above 30 ̊C Avoid sub-freezing temperature.,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
36,8904091117703,Relcer Gel,Relcer Gel Antiacide Antiflatulent 180ml,Gastrointestinal drug,1 to 2 teaspoons three to four times daily after meals or as directed by physician,Glenmark Pharmaceauticals Ltd.,Gastrointestinal drug,10241141,,04/01/2028,2, bottles,,,,,Store below 25 ̊. Protect from light,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
37,6161110939605,Babymol Suspension,Babymol Suspension Ibuprofen and Paracetamol Suspension 100ml,Antihistamine,As directed by physician,Questa Care Limited,Antihistamine,512407,03/25/2025,06/01/2027,3, bottles,,,,,Do not store above 30 ̊C,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
38,8904091102921,Zupricin B Ointment,Zupricin B Ointment Mupirocin and BetamethasoneDipropionate Ointment 15gm ,Topical Creams Ointment and solutions,As directed by physician,Glenmark Pharmaceauticals Ltd.,Topical Creams Ointment and solutions,10241688,07/24/2025,12/01/2025,2, Tubes,,,,,"Store below 30 ̊ C , do not freeze",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,"In good condition, expiry date soon"
39,8904091102907,Zupricin Ointment,Zupricin Ointment USP 15gm,Topical Creams Ointment and solutions,As directed by physician,Glenmark Pharmaceauticals Ltd.,Topical Creams Ointment and solutions,10241756,07/24/2025,12/01/2025,2, Tubes,,,,,"Store below 30 ̊ C , do not freeze",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,"In good condition, expiry date soon"
40,8904091112500,Candid Mouth Paint,Candid Clotrimazole Mouth Paint 15ml ,"Ear, Nose and Throat",As directed by physician,Glenmark Pharmaceauticals Ltd.,"Ear, Nose and Throat",10242865,12/24/2025,11/01/2026,2, bottles,,,,,"Store below 30 ̊C, protect from light",Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
41,8906047228099,Pred -Paed Solution,Pred-Paed Solution Prednisolone Oral Solution USP 50 ml,Antihistamine,As directed by physician,Yash Pharma Laboratories Pvt Ltd.,Antihistamine,EPPL2401,03/24/2025,02/01/2026,2, bottles,,,,,Store below 30 ̊ C protect from light and moisture,Yash Pharma Laboratories Pvt Ltd.,Surgilinks Limited,05/07/2025,,,,,,"In good condition, barcode does not easily scan "
42,8906040831012,D 10% ,D 10 Glucose Intravenous Infusion BP(100gm/lt) Sterile Non- Pyrogenic single dose container 500ml ,Infusions,As directed by physician,Amanta Healthcare Ltd.,Infusions,30231265,07/23/2025,06/01/2026,24,bottles,,,,,Store at a temperature not exceeding 30 ̊C ,Amanta Healthcare Ltd.,Surgilinks Limited,05/07/2025,,#VALUE!,,,,In good condition
43,8906040839049,D 5%,D 5 Glucose Intravenous Infusion BP (50gm/lt) Sterile Non-Pyrogenic Single Dose Container ,Infusions,As directed by physician,Amanta Healthcare Ltd.,Infusions,10130085,01/23/2025,12/01/2025,24, bottles,,,,,Store at a temperature not exceeding 30 ̊C ,Amanta Healthcare Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOTES,,,,,,,,,,,,,,,,,,,,,,,
,,,Red-Out of Stock,,,,,,,,,,,,,,,,,,,,,,,
,,,Yellow -Not delivered,,,,,,,,,,,,,,,,,,,,,,,
,,,Blue -Short Expiry..This month,,,,,,,,,,,,,,,,,,,,,,,
,,,Green -Wrong GTIN on sticker,,,,,,,,,,,,,,,,,,,,,,,
