No.,Barcode Number,Brand Name,Product Description,Category Name,Dosage Form,Manufacturer,Batch Number,Manufacturing Date,Expiry Date,Quantity in Stock,Supplier,Date Received,Notes
14,6161116480101,Claritek,CLARITEK(Crarithromycin Tablets USP) 250mg 10 Tablets,Anti-biotic,As directed by physician,Getz Pharma (Pvt.) Limited,312F01,05/24/2025,05/27/2025,1 box,Ilara Health,16/05/2025,No barcode
15,6161116480118,Claritek,CLARITEK(Crarithromycin Tablets USP) 500mg 10 Tablets,Anti-biotic,As directed by physician,Getz Pharma (Pvt.) Limited,315F01,08/24/2025,08/27/2025,2 boxes,Ilara Health,16/05/2025,No barcode
4,6161116480019,Clindazed-300,Clindazed-300 Capsule Clindamycin Hydrochloride Capsules USP 300mg 10*1*10 Capsules,Antibiotics,As directed by physician,Sunrise Remedies Pvt.Ltd,CL304624,2025-06-24,11/26/2025,1 pack,Ilara Health,16/05/2025,Has short GTIN
9,6161116480064,Coramide,Coramide Loperamide Hydrochloride Capsule B.P. 2mg ,Anti-Diarrhoea,As directed by physician,Comet Healthcare LTD,50107,2025-01-25,12/27/2025,3 packs,Ilara Health,16/05/2025,No barcode
10,,Coramide,Coramide Loperamide Hydrochloride Capsule B.P. 2mg ,Anti-Diarrhoea,As directed by physician,Comet Healthcare LTD,41103,2025-11-24,10/27/2025,1 packs,Ilara Health,16/05/2025,No barcode
59,6161116480316,crown plast strapping,zinc oxide adhesive plaster white 1PC,NON PHARMACEUTICALS,As prescribed by physician,zhejiang bangli medical products co ltd,230208,Feb-23,02/28/2025,5,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
45,6161116480590,delased,dry cough non drowsy,Cough Syrup,As directed by physician,regal pharmaceuticals ltd,24181804,09/24/2025,08/27/2025,2,Ilara Health,16/05/2025,No barcode
46,6161116480606,delased,chesty cough,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,242158,11/24/2025,10/27/2025,2,Ilara Health,16/05/2025,No barcode
47,6161116480613,delased,paediatrics,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,250578,03/25/2025,02/28/2025,2,Ilara Health,16/05/2025,No barcode
48,6161116480620,delased,dry cough,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,250654,03/25/2025,02/28/2025,2,Ilara Health,16/05/2025,No barcode
49,6161116480637,delased,chesty cough non drowsy,Cough Syrup,As prescribed by physician,regal pharmaceuticals ltd,242160,11/24/2025,10/27/2025,2,Ilara Health,16/05/2025,No barcode
20,6161116480163,Diclofenac,DICLOFENAC SODIUM INJECTION 75MG/3ML 10AMPOULES,Analgesics,As directed by physician,REYOUNG PHARMACEUTICAL CO.LTD,202403111,03/24/2025,02/27/2025,10,Ilara Health,16/05/2025,No barcode
40,6161116480477,Don-A,DON-A DOMPERIDONE 10 MG 10*10 Tablets,ANTIEMETICS,As directed by physician,THE ACME LABORATORIES LTD,T4084026,05/24/2025,04/26/2025,1,Ilara Health,16/05/2025,No barcode
26,6161116480224,Doxycline,"DOXYCYCLINE 100MG, 100CAPSULES",Antibiotic,As directed by physician,ZAIN PHARMA LTD,C25A003,01/25/2025,12/27/2025,1,Ilara Health,16/05/2025,No barcode
24,6161116480200,Emitoss 4,"EMITOSS TABLETS 4MG ,10 TABLETS",Anti-hemetic,As directed by physician,FREDUN PHARMACEUTICALS LTD,DJ0150,10/24/2025,09/26/2025,1,Ilara Health,16/05/2025,No barcode
12,6161116480088,Entamaxin ,Entamaxin Capsules The Pan-amoebicide plus antispasmodic 30 Capsules,Anti amoebic,As directed by physician,Sphinx Pharmaceauticals Ltd,00238EXC,2025-04-25,2025-03-28,2 pcs,Ilara Health,16/05/2025,No barcode
1,6161116480002,Faholo,LIQUID PARAFFIN 100MLS,Liquid Paraffin ,As prescribed by physician,FAHOLO CHEMICAL LTD,20825FLP,02/25/2025,02/28/2025,2,Ilara Health,16/05/2025,Non-GS1 barcode
51,6161116480651,faholo,calamine body lotion,lotion,As prescribed by physician,faholo chemicals ltd,21225 fcl,03/25/2025,03/28/2025,3,Ilara Health,16/05/2025,No barcode
29,6161116480484,Faholo Hand Sanitizer,HAND SANITIZER SPRAY,SANITIZER,As directed by physician,FAHOLO CHEMICALS LTD,20425FHSS,01/25/2025,01/28/2025,4,Ilara Health,16/05/2025,No barcode
30,,Faholo Hand Sanitizer,HAND SANITIZER SPRAY,SANITIZER,As directed by physician,FAHOLO CHEMICALS LTD,14824 FHSS,11/24/2025,11/27/2025,1,Ilara Health,16/05/2025,No barcode
28,6161116480248,Fenpro,"FENPRO200MG,IBRUFEN, 100 TABLETS",Analgesic,As directed by physician,DINLAS PHARMA EPZ,241005,10/24/2025,09/27/2025,1,Ilara Health,16/05/2025,No barcode
56,6161116480286,fino ject,disposable syringes without needle 20cc 50pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20240812,Aug-24,08/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
52,6161116480255,FINO-JECT,"DISPOSABLE SYRINGE WITHOUT NEEDLE 2CC, 100PIECES",NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20240527,May-24,05/29/2025,2,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
8,6161116480057,FloraNorm,FloraNorm Saccharomyces Boulardii 10 sachets,Probiotic,As directed by physician,Prisma Pharma FZE,53B24017A,2025-07-24,2025-06-26,1 pcs,Ilara Health,16/05/2025,No barcode
21,6161116480170,FLU-GONE,FLU-GONE CAPSULES 10 CAPSULES,Decongestant,As directed by physician,PHARMATEC PAKISTAN LTD,R34AE,03/25/2025,03/28/2025,3,Ilara Health,16/05/2025,No barcode
44,6161116480583,folisure,follic acid tabs bp 5mg,Supplement,As directed by physician,ZAIN PHARMA LTD,t25b021,02/25/2025,01/28/2025,1,Ilara Health,16/05/2025,No barcode
67,6161116480385,folycath,foley catheter 18g 10 pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20241130,Nov-24,10/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
68,6161116480392,folycath,foley catheter 16g 10 pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20241130,Nov-24,10/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
70,6161116480415,Labmate,Labmate Micro pipette tips 200 ul,NON PHARMACEUTICALS,As prescribed by physician,Revital Healthcare (EPZ) Ltd,2427268-02,10/24/2025,2025-09-29,1,Revital Laboratories,21/05/2025,No barcode
71,6161116480422,Labmate,Labmate Micro pipette tips 100-1000 ul 1000 pieces,NON PHARMACEUTICALS,As prescribed by physician,Revital Healthcare (EPZ) Ltd,2427268-01,10/24/2025,2025-09-29,1,Revital Laboratories,21/05/2025,No barcode
69,6161116480408,Mcknight medicals,absorbent gauze roll-plain,NON PHARMACEUTICALS,As prescribed by physician,nontong mcknight medical products co.ltd,mckm2412,Dec-24,12/29/2025,3,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
63,6161116480347,medco,oxygen mask adult ,NON PHARMACEUTICALS,As prescribed by physician,yiwu medco healthcare ltd,10/01/2021,Oct-21,Sept-26,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
58,6161116480309,medex,medicrepe bandage 12 pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20240910,Sept-24,Sept-29,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
62,6161116480330,medex,Medex urine bag 2000ml capacity,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20240718,Jul-24,07/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
5,6161116480026,Micromol,Micromol Paracetamol Tablets BP 500mg 10*10 Tablets,Analgesic,As directed by physician,Zain Pharma,T24B016,04/24/2025,03/27/2025,5 packs,Ilara Health,16/05/2025,No barcode
73,6161116480446,Mixtard  30,Mixtard 30 100 IU/ml 10ml ,Anti-hyperglasemic,As prescribed by physician,Novo Nordisk ,PT6FV30,2025-10-24,2025-03-27,1,Ilara Health,16/05/2025,No barcode
11,6161116480071,Multidex,Multidex Multivitamin Syrup Immune Support 100ml,Suppliments,As directed by physician,Zain Pharma LTD,L24L002,11/24/2025,10/26/2025,2 pcs,Ilara Health,16/05/2025,No barcode
64,6161116480354,Nasal Oxygen Cannula,nasal oxygen cannula neonate,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,cj24267,Jun-24,05/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
65,6161116480361,Nasal Oxygen Cannula,nasal oxygen cannula adult,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,cj24267,Jun-24,05/29/2025,2,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
66,6161116480378,Nasal Oxygen Cannula,nasal oxygen cannula pediatric,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,20210901,Sept-21,08/26/2025,2,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
6,6161116480033,Neopeptine,Neopeptine Capsules 1 strip of 10 Capsules,Anti-flatulent,As directed by physician,"Raptakos, Brett & Co. Ltd",D01R24014,08/10/2025,07/04/2027,3 packs,Ilara Health,16/05/2025,No barcode
41,6161116480569,ORS,ORS ORAL REHYDRATION SALTS,REHYDRATION SALTS,As directed by physician,LABORATORY & ALLIED LTD,87690,12/24/2025,11/26/2025,30,Ilara Health,16/05/2025,No barcode
16,6161116480125,Phental,Phenobarbital Sodium Injection USP 200mg/ml 1*5 ampoules,Anti-Converlsant,As directed by physician,Farbe Firma Private Limited,AGL 24002,02/24/2025,01/26/2025,5 boxes,Ilara Health,16/05/2025,No barcode
13,6161116480095,Pirinox,Pirinox Chlorpheniramine Maleate 2mg/5ml 60ml,Anti histamine,As directed by physician,Trupharma Man.Ltd,125018,2025-01-25,12/27/2025,2 bottles,Ilara Health,16/05/2025,No barcode
7,6161116480040,Pirozen 20,Pirozen 20 Piroxicam Capsules BP 20mg 10*10 Capsules ,Analgesic,As directed by physician,Zain Pharma Ltd,C25A019,2025-01-25,12/27/2025,1 bottles,Ilara Health,16/05/2025,No barcode
37,6161116480552,Probeta-N,PROBETA N BETAMETHASONE SODIUM PHOSPATE/NEOMYCIN NASAL/EAR/NOSE DROPS,ENT DROPS,As directed by physician,ATCO VISION,FW121K,10/24/2025,09/26/2025,2,Ilara Health,16/05/2025,No barcode
38,,Probeta-N,PROBETA N BETAMETHASONE SODIUM PHOSPATE/NEOMYCIN NASAL/EAR/NOSE DROPS,ENT DROPS,As directed by physician,ATCO VISION,FW116K,10/24/2025,09/26/2025,1,Ilara Health,16/05/2025,No barcode
55,6161116480279,SAI JECT,disposable syringes 10cc 100pcs,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,20240821,Aug-24,08/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
53,6161116480668,SAI-JECT,DISPOSABLE SYRINGE WITHOUT NEEDLE 5CC,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,20240821,Aug-24,08/29/2025,2,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
54,6161116480262,SAI-JECT,"DISPOSABLE NEEDLE 23G,100PCS",NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,20240821,Aug-24,08/29/2025,5,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
50,6161116480644,scabion ,Scabion lotion crotamiton+sulphur,Anti-Scabis,As prescribed by physician,atco laboratories ltd,gl105k,08/24/2025,07/27/2025,3,Ilara Health,16/05/2025,No barcode
18,6161116480149,Scospan,SCOSPAN INJECTION 20MG/ML 10PIECES,Muscle relaxant,As directed by physician,TIANJIN KINGYORK GROUP HUBEI,2404191,04/24/2025,03/27/2025,2,Ilara Health,16/05/2025,No barcode
57,6161116480293,spandex and stretched,crepe bandage 15cm*4.5m 12pcs,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,cob250205,Feb-25,Feb-30,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
60,6161116480675,spandex and stretched,crepe bandage 5cm*4.5m 12pcs,NON PHARMACEUTICALS,As prescribed by physician,NANTONG JIANAN MEDICAL PRODUCTS LTD,COB250205,Feb-25,Feb-30,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
61,6161116480323,SURGIBLADE,sterile surgical blades 100pcs,NON PHARMACEUTICALS,As prescribed by physician,SHANGHAI CHANNELMED LTD,24513,Dec-24,12/29/2025,1,Bridgewell Diagnostic Supplies,17/05/2025,No barcode
22,6161116480187,Tegretol,TEGRETOL 200MG 50 TABLETS,Anti-Depressant,As directed by physician,SWISSMEDIC N 29789,TJMP7,10/24/2025,09/26/2025,1,Ilara Health,16/05/2025,No barcode
3,8906143080291,theomox-250,amoxillin capsules usp 250mg,Anti-biotic,As prescribed by physician,theon pharmaceuticals ltd,ebc250003,02/25/2025,01/28/2025,2,Ilara Health,16/05/2025,The dosages are prescibed as 15 tablets each
2,8906143080263,Theomox-500,THEOMOX-500  Amoxicillin Capsules USP 500MG 100CAPSULES,Anti-biotic,As directed by physician,THEON PHARMACEUTICALS LTD,EBC240029,12/24/2025,11/27/2025,3,Ilara Health,16/05/2025,The dosages are prescibed as 15 tablets each
42,6161116480576,Vitamin B,VITAMIN B COMPLEX INJECTION,SUPPLEMENT,As directed by physician,LABORATE PHARMACEUTICALINDIA LTD,OVBIE-007,11/24/2025,10/27/2025,1,Ilara Health,16/05/2025,No barcode
43,,Vitamin B,VITAMIN B COMPLEX INJECTION,SUPPLEMENT,As directed by physician,LABORATE PHARMACEUTICALINDIA LTD,OVBIE-009,12/24/2025,11/27/2025,4,Ilara Health,16/05/2025,No barcode
36,6161116480545,Xtrazid,XTRAZID CEFTAZIDIME 1G IM/IV,IV/IM ANTIBIOTICS,As directed by physician,SURGE LABOROTORIES LTD,XT3-065F,03/24/2025,03/26/2025,10,Ilara Health,16/05/2025,No barcode
19,6161116480156,Zefcolin,ZEFCOLIN SYRUP 100ML DRY COUGH,Cough Syrup,As directed by physician,THE MADRAS PHARMACEUTICALS,ME24L0052,11/24/2025,10/26/2025,2,Ilara Health,16/05/2025,No barcode
27,6161116480231,Zomep-Es 40,"ZOMEP-ES 40, 30TABLETS",Anti-Acid,As directed by physician,ZOTA HEALTHCARE LTD,EP24006,01/24/2025,12/26/2025,1,Ilara Health,16/05/2025,No barcode
25,6161116480217,Zytee RB,"ZYTEE RB 10MLS,ANTISEPTIC PAIN GEL",Antiseptic,As directed by physician,"RAPTAKOS, BRETT & CO.LTD",DT24009B,03/24/2025,02/27/2025,2,Ilara Health,16/05/2025,No barcode
